,Course Name,Prereqs
190,COMM 101N,['C' 'O' 'M' 'M' ' ' '1' '0' 'C' 'O' 'M' 'M' ' ' '1' '0' '1']
191,COMM 103F,['C' 'O' 'M' 'M' ' ' '1' '0']
192,COMM 106C,['C' 'O' 'M' 'M' ' ' '1' '0']
193,COMM 109D,['C' 'O' 'M' 'M' ' ' '1' '0']
194,COMM 106T,['C' 'O' 'M' 'M' ' ' '1' '0']
195,COMM 107,['C' 'O' 'M' 'M' ' ' '1' '0']
196,COMM 108D,['C' 'O' 'M' 'M' ' ' '1' '0']
197,COMM 111P,['C' 'O' 'M' 'M' ' ' '1' '0']
198,COMM 109N,['C' 'O' 'M' 'M' ' ' '1' '0' 'S' 'O' 'C' 'I' ' ' '1']
199,COMM 110G,['C' 'O' 'M' 'M' ' ' '1' '0']
200,COMM 113T,['C' 'O' 'M' 'M' ' ' '1' '0']
201,COMM 145,"['C' 'O' 'M' 'M' ' ' '1' '0' '0' 'A' 'C' 'O' 'M' 'M' ' ' '1' '0' '0' 'B'
 'C' 'O' 'M' 'M' ' ' '1' '0' '0' 'B' 'C' 'O' 'M' 'M' ' ' '1' '0' '0' 'C'
 'C' 'O' 'M' 'M' ' ' '1' '0' '0' 'A' 'C' 'O' 'M' 'M' ' ' '1' '0' '0' 'C'
 'C' 'O' 'M' 'M' ' ' '1' '0']"
202,COMM 114F,"['C' 'O' 'M' 'M' ' ' '1' '0' 'D' 'O' 'C' ' ' '2' 'P' 'O' 'L' 'I' ' ' '4'
 '0']"
