,Course Name,Prereqs
1576,SOCI 187,[]
1577,SOCI 20,[]
1583,TDGE 100,[]
1585,TDGE 133,[]
1589,TDHT 104,[]
1590,TDHT 110,[]
1591,TDHT 23,[]
1599,TWS 21,[]
1600,USP 100,[]
1602,USP 137,[]
1603,USP 15,[]
1604,USP 150,[]
1606,USP 160,[]
1607,TDPF 162,[]
1608,USP 152,[]
1609,USP 172,[]
1610,USP 180,[]
1612,USP 105,[]
1613,USP 145,[]
1614,USP 189,[]
1615,VIS 10,[]
1617,VIS 102,[]
1618,VIS 103A,[]
1620,VIS 110I,[]
1622,VIS 110H,[]
1624,VIS 117F,[]
1625,USP 171,[]
1626,USP 190,[]
1628,VIS 124E,[]
1632,VIS 126I,[]
1633,VIS 159,[]
1641,VIS 21A,[]
1642,WCWP 160,[]
1644,VIS 121B,[]
1645,ANAR 154,[]
1646,VIS 22,[]
1647,VIS 3,[]
1648,ANAR 104,[]
1649,ANAR 158,[]
1650,ANBI 116,[]
1651,ANBI 140,[]
1652,ANSC 101,[]
1653,ANSC 125,[]
1654,ANSC 149,[]
1655,ANSC 150,[]
1657,ANBI 144,[]
1658,ANSC 173,[]
1659,ANSC 188,[]
1660,ANSC 190,[]
1661,ANTH 106,[]
1662,ANSC 191,[]
1663,ANSC 193,[]
1664,ANTH 111,[]
1665,ANTH 5,[]
1666,AWP 2A,[]
1668,BENG 1,[]
1689,BENG 87,[]
1690,BILD 38,[]
1691,BILD 87,[]
1693,BIMM 116B,[]
1698,BIMM 164,[]
1703,CCS 101,[]
1710,CGS 105,[]
1712,CGS 106,[]
1716,CHEM 1,[]
1734,CHEM 194,[]
1739,CHIN 169A,[]
1744,COGS 111,[]
1745,COGS 151,[]
1764,CSS 1,[]
1767,DOC 2,[]
1769,CSE 191,[]
1777,ECE 128B,[]
1786,ECE 150,[]
1789,ECON 100BH,[]
1790,ECE 87,[]
1793,ECON 120BH,[]
1795,ECON 110BH,[]
1804,EDS 111,[]
1805,EDS 119,[]
1806,EDS 135,[]
1807,EDS 114,[]
1808,EDS 137,[]
1809,EDS 30,[]
1811,EDS 23,[]
1812,ENG 100B,[]
1813,ERC 2,[]
1814,ENVR 120,[]
1815,ERC 192A,[]
1818,ETHN 163F,[]
1819,ETHN 2,[]
1820,ETHN 185,[]
1821,ETHN 177,[]
1822,ETHN 121,[]
1823,ETHN 163E,[]
1824,ETHN 184,[]
1827,GLBH 142,[]
1828,GLBH 150,[]
1830,GLBH 150A,[]
1831,GLBH 160,[]
1832,GLBH 171R,[]
1834,HIEA 155,[]
1835,HIEU 183,[]
1836,HIEU 151,[]
1837,HILA 100,[]
1838,HILA 103,[]
1839,HILA 121B,[]
1840,HIEA 115,[]
